Autauga County,Alabama,60436
Baldwin County,Alabama,254107
Barbour County,Alabama,24644
Bibb County,Alabama,21890
Blount County,Alabama,59777
Bullock County,Alabama,9908
Butler County,Alabama,18357
Calhoun County,Alabama,116403
Chambers County,Alabama,34087
Cherokee County,Alabama,25700
Chilton County,Alabama,46525
Choctaw County,Alabama,12263
Clarke County,Alabama,22305
Clay County,Alabama,14157
Cleburne County,Alabama,15658
Coffee County,Alabama,55707
Colbert County,Alabama,58382
Conecuh County,Alabama,11177
Coosa County,Alabama,10267
Covington County,Alabama,37861
Crenshaw County,Alabama,13168
Cullman County,Alabama,91909
Dale County,Alabama,49852
Dallas County,Alabama,36294
DeKalb County,Alabama,72626
Elmore County,Alabama,90416
Escambia County,Alabama,36582
Etowah County,Alabama,103174
Fayette County,Alabama,15913
Franklin County,Alabama,31941
Geneva County,Alabama,27052
Greene County,Alabama,7299
Hale County,Alabama,14931
Henry County,Alabama,17872
Houston County,Alabama,108556
Jackson County,Alabama,53423
Jefferson County,Alabama,664084
Lamar County,Alabama,13616
Lauderdale County,Alabama,96867
Lawrence County,Alabama,33505
Lee County,Alabama,184271
Limestone County,Alabama,114803
Lowndes County,Alabama,9682
Macon County,Alabama,18347
Madison County,Alabama,413891
Marengo County,Alabama,18705
Marion County,Alabama,29279
Marshall County,Alabama,101041
Mobile County,Alabama,411745
Monroe County,Alabama,19244
Montgomery County,Alabama,225966
Morgan County,Alabama,125455
Perry County,Alabama,7772
Pickens County,Alabama,18741
Pike County,Alabama,33163
Randolph County,Alabama,22789
Russell County,Alabama,58792
St Clair County,Alabama,95487
Shelby County,Alabama,233593
Sumter County,Alabama,11737
Talladega County,Alabama,81083
Tallapoosa County,Alabama,40709
Tuscaloosa County,Alabama,239204
Walker County,Alabama,64845
Washington County,Alabama,15040
Wilcox County,Alabama,9925
Winston County,Alabama,23673
Aleutians East Borough,Alaska,3529
Aleutians West Census Area,Alaska,5257
Anchorage Municipality,Alaska,287932
h,Alaska,18199
Bristol Bay Borough,Alaska,859
Chugach Census Area,Alaska,6749
Copper River Census Area,Alaska,2656
Denali Borough,Alaska,1595
Dillingham Census Area,Alaska,4626
Fairbanks North Star Borough,Alaska,95700
Haines Borough,Alaska,2088
Hoonah-Angoon Census Area,Alaska,2278
Juneau City and Borough,Alaska,31483
Kenai Peninsula Borough,Alaska,61285
Ketchikan Gateway Borough,Alaska,13708
Kodiak Island Borough,Alaska,12659
Kusilvak Census Area,Alaska,7991
Lake and Peninsula Borough,Alaska,1337
Matanuska-Susitna Borough,Alaska,115296
Nome Census Area,Alaska,9790
North Slope Borough,Alaska,10621
Northwest Arctic Borough,Alaska,7286
Petersburg Borough,Alaska,3431
Prince of Wales-Hyder Census Area,Alaska,5708
Sitka City and Borough,Alaska,8304
Skagway Municipality,Alaska,1101
Southeast Fairbanks Census Area,Alaska,7148
Wrangell City and Borough,Alaska,2072
Yakutat City and Borough,Alaska,686
Yukon-Koyukuk Census Area,Alaska,5136
Apache County,Arizona,65121
Cochise County,Arizona,124881
Coconino County,Arizona,144934
Gila County,Arizona,54060
Graham County,Arizona,39561
Greenlee County,Arizona,9383
La Paz County,Arizona,16812
Maricopa County,Arizona,4615625
Mohave County,Arizona,223801
Navajo County,Arizona,109281
Pima County,Arizona,1068579
Pinal County,Arizona,486395
Santa Cruz County,Arizona,49647
