Autauga County,Alabama,1746979
Baldwin County,Alabama,8109210
Barbour County,Alabama,732151
Bibb County,Alabama,460844
Blount County,Alabama,906582
Bullock County,Alabama,269007
Butler County,Alabama,601322
Calhoun County,Alabama,4454207
Chambers County,Alabama,882006
Cherokee County,Alabama,534073
Chilton County,Alabama,1069934
Choctaw County,Alabama,562101
Clarke County,Alabama,850374
Clay County,Alabama,424267
Cleburne County,Alabama,279348
Coffee County,Alabama,1399269
Colbert County,Alabama,2533138
Conecuh County,Alabama,372518
Coosa County,Alabama,178814
Covington County,Alabama,1214635
Crenshaw County,Alabama,373160
Cullman County,Alabama,2807111
Dale County,Alabama,2780156
Dallas County,Alabama,1251466
DeKalb County,Alabama,1889298
Elmore County,Alabama,1971078
Escambia County,Alabama,1198870
Etowah County,Alabama,2824810
Fayette County,Alabama,337273
Franklin County,Alabama,909753
Geneva County,Alabama,558832
Greene County,Alabama,211650
Hale County,Alabama,274941
Henry County,Alabama,448782
Houston County,Alabama,5612946
Jackson County,Alabama,1459631
Jefferson County,Alabama,45495547
Lamar County,Alabama,328150
Lauderdale County,Alabama,2633162
Lawrence County,Alabama,565359
Lee County,Alabama,6202804
Limestone County,Alabama,4152291
Lowndes County,Alabama,380643
Macon County,Alabama,523697
Madison County,Alabama,26578200
Marengo County,Alabama,799999
Marion County,Alabama,875066
Marshall County,Alabama,3513964
Mobile County,Alabama,20629953
Monroe County,Alabama,645004
Montgomery County,Alabama,13790378
Morgan County,Alabama,5752406
Perry County,Alabama,200884
Pickens County,Alabama,437136
Pike County,Alabama,1385275
Randolph County,Alabama,461568
Russell County,Alabama,1518639
St. Clair County,Alabama,1996200
Shelby County,Alabama,12202275
Sumter County,Alabama,323200
Talladega County,Alabama,3049141
Tallapoosa County,Alabama,1335855
Tuscaloosa County,Alabama,10292005
Walker County,Alabama,1683379
Washington County,Alabama,833596
Wilcox County,Alabama,410304
Winston County,Alabama,801044
Aleutians East Borough,Alaska,240184
Aleutians West Census Area,Alaska,879026
Anchorage Municipality,Alaska,22366993
Bethel Census Area,Alaska,681822
Bristol Bay Borough,Alaska,124970
Chugach Census Area,Alaska,1268010
Copper River Census Area,Alaska,106221
Denali Borough,Alaska,204622
Dillingham Census Area,Alaska,245485
