Autauga County,Alabama,58805
Baldwin County,Alabama,231767
Barbour County,Alabama,25223
Bibb County,Alabama,22293
Blount County,Alabama,59134
Bullock County,Alabama,10357
Butler County,Alabama,19051
Calhoun County,Alabama,116441
Chambers County,Alabama,34772
Cherokee County,Alabama,24971
Chilton County,Alabama,45014
Choctaw County,Alabama,12665
Clarke County,Alabama,23087
Clay County,Alabama,14236
Cleburne County,Alabama,15056
Coffee County,Alabama,53465
Colbert County,Alabama,57227
Conecuh County,Alabama,11597
Coosa County,Alabama,10387
Covington County,Alabama,37570
Crenshaw County,Alabama,13194
Cullman County,Alabama,87866
Dale County,Alabama,49326
Dallas County,Alabama,38462
DeKalb County,Alabama,71608
Elmore County,Alabama,87977
Escambia County,Alabama,36757
Etowah County,Alabama,103436
Fayette County,Alabama,16321
Franklin County,Alabama,32113
Geneva County,Alabama,26659
Greene County,Alabama,7730
Hale County,Alabama,14785
Henry County,Alabama,17146
Houston County,Alabama,107202
Jackson County,Alabama,52579
Jefferson County,Alabama,674721
Lamar County,Alabama,13972
Lauderdale County,Alabama,93564
Lawrence County,Alabama,33073
Lee County,Alabama,174241
Limestone County,Alabama,103570
Lowndes County,Alabama,10311
Macon County,Alabama,19532
Madison County,Alabama,388153
Marengo County,Alabama,19323
Marion County,Alabama,29341
Marshall County,Alabama,97612
Mobile County,Alabama,414809
Monroe County,Alabama,19772
Montgomery County,Alabama,228954
Morgan County,Alabama,123421
Perry County,Alabama,8511
Pickens County,Alabama,19123
Pike County,Alabama,33009
Randolph County,Alabama,21967
Russell County,Alabama,59183
St. Clair County,Alabama,91103
Shelby County,Alabama,223024
Sumter County,Alabama,12345
Talladega County,Alabama,82149
Tallapoosa County,Alabama,41311
Tuscaloosa County,Alabama,227036
Walker County,Alabama,65342
Washington County,Alabama,15388
Wilcox County,Alabama,10600
Winston County,Alabama,23540
Aleutians East Borough,Alaska,3420
Aleutians West Census Area,Alaska,5232
Anchorage Municipality,Alaska,291247
Bethel Census Area,Alaska,18666
Bristol Bay Borough,Alaska,844
Chugach Census Area,Alaska,7102
Copper River Census Area,Alaska,2617
Denali Borough,Alaska,1619
Dillingham Census Area,Alaska,4857
Fairbanks North Star Borough,Alaska,95655
Haines Borough,Alaska,2080
Hoonah-Angoon Census Area,Alaska,2365
Juneau City and Borough,Alaska,32255
Kenai Peninsula Borough,Alaska,58799
Ketchikan Gateway Borough,Alaska,13948
Kodiak Island Borough,Alaska,13101
Kusilvak Census Area,Alaska,8368
Lake and Peninsula Borough,Alaska,1476
Matanuska-Susitna Borough,Alaska,107081
Nome Census Area,Alaska,10046
North Slope Borough,Alaska,11031
Northwest Arctic Borough,Alaska,7793
Petersburg Borough,Alaska,3398
Prince of Wales-Hyder Census Area,Alaska,5753
Sitka City and Borough,Alaska,8458
Skagway Municipality,Alaska,1240
Southeast Fairbanks Census Area,Alaska,6808
Wrangell City and Borough,Alaska,2127
Yakutat City and Borough,Alaska,662
Yukon-Koyukuk Census Area,Alaska,5343
Apache County,Arizona,66021
